# trNo, usertype, content, trtype, regdate, tmpNo
'2437', '문비서', '이거 맞으시죠? 한번 더 확인하고 진행해드리려구요~ <br>입금 확인이 되셨습니다 ^^', '꽃/케익배달', '2015-10-27 13:58:00', '2437'
'2437', '유저', '죄송한데 보다 보니 이게 더 이쁘네요', '꽃/케익배달', '2015-10-27 14:00:00', '2437'
'2437', '유저', '요걸로 부탁드려요', '꽃/케익배달', '2015-10-27 14:01:00', '2437'
'2437', '문비서', '금액이 좀 많이 차이나서....이걸로도 가능할지 모르겠어요 ㅠ <br>한번 문의해볼께요~', '꽃/케익배달', '2015-10-27 14:01:00', '2437'
'2437', '유저', '혹시 1/2만원 더 필요하면 알려주세요', '꽃/케익배달', '2015-10-27 14:02:00', '2437'
'2437', '유저', '추가로 입금하겠습니가', '꽃/케익배달', '2015-10-27 14:02:00', '2437'
'2437', '유저', '다', '꽃/케익배달', '2015-10-27 14:02:00', '2437'
'2437', '문비서', '네~ 확인해보고 말씀드릴께요~', '꽃/케익배달', '2015-10-27 14:02:00', '2437'
'2437', '문비서', '원래 가격대로 해야 사진 그대로 꽃다발이 만들어지는, <br>금액을 내리면 꽃을 좀 줄여서 하는거라서 빈약해 보일 수 있다고 합니다. <br>보라색 꽃이 더 비싸기 때문에 꽃이 많이 작아진다고 하네요 (흑흑)', '꽃/케익배달', '2015-10-27 14:05:00', '2437'
'2437', '유저', '네 그럼 제가 만원 더 입금하겠습니다!!', '꽃/케익배달', '2015-10-27 14:06:00', '2437'
'2437', '문비서', '지금 보신 이미지보다 조금 작아질 수 있는데 괜찮으신지요?', '꽃/케익배달', '2015-10-27 14:06:00', '2437'
'2437', '문비서', '원래 가격은 65,000원이셔서요 ^^;;', '꽃/케익배달', '2015-10-27 14:07:00', '2437'
'2437', '유저', '아 그럼 15000원 더 입금할겡ㅅ', '꽃/케익배달', '2015-10-27 14:07:00', '2437'
'2437', '유저', '요', '꽃/케익배달', '2015-10-27 14:07:00', '2437'
'2437', '유저', '제가 보내드린 사진에는 6만원이라 써져 있어서요', '꽃/케익배달', '2015-10-27 14:07:00', '2437'
'2437', '문비서', '앗', '꽃/케익배달', '2015-10-27 14:08:00', '2437'
'2437', '문비서', '잠시만요~ 핑크소다로 고르셨네요, 문비서가 마들렌으로 착각하였습니다!', '꽃/케익배달', '2015-10-27 14:08:00', '2437'
'2437', '유저', '네! ㅎㅎ', '꽃/케익배달', '2015-10-27 14:09:00', '2437'
'2437', '문비서', '핑크소다는 1만원만 더 입금해주시면 되세요~', '꽃/케익배달', '2015-10-27 14:09:00', '2437'
'2437', '유저', '네 지금 다른 거 하고 있어서 한시간 쯤 후에 입금하고 말씀드릴게요!!', '꽃/케익배달', '2015-10-27 14:09:00', '2437'
'2437', '문비서', '네 알겠습니다~', '꽃/케익배달', '2015-10-27 14:10:00', '2437'
'2437', '유저', '입금했어요!!', '꽃/케익배달', '2015-10-27 15:48:00', '2437'
'2437', '문비서', '네 확인되셨습니다~', '꽃/케익배달', '2015-10-27 15:48:00', '2437'
'2437', '유저', '감사합니다 :)', '꽃/케익배달', '2015-10-27 15:49:00', '2437'
'2437', '문비서', '올리브가든(02-541-5005)에 주문완료했고<br>내일 옆 가게 그레고리에 고객님의 성함으로 꽃다발을 맡겨두겠다고 합니다(카드도 하나 붙여 들인다고 합니다)', '꽃/케익배달', '2015-10-27 15:50:00', '2437'
'2437', '문비서', '손글씨로 내용을 쓰실 수 있는 작은 카드라고 합니다~', '꽃/케익배달', '2015-10-27 15:50:00', '2437'
'2450', '유저', '과일바구니요', '꽃/케익배달', '2015-10-28 12:03:00', NULL
'2450', '문비서', '네~ 과일바구니로 보내드리겠습니다! 배송 받으실 주소 부탁드릴께요~^^', '꽃/케익배달', '2015-10-28 12:07:00', NULL
'2450', '유저', '30일에 오는건가요?  31일에 올순 없을까요?', '꽃/케익배달', '2015-10-28 13:17:00', NULL
'2450', '문비서', '31일 보내드리겠습니다.~^^', '꽃/케익배달', '2015-10-28 13:18:00', NULL
'2450', '문비서', '받으실 배송 주소 부탁드립니다. ', '꽃/케익배달', '2015-10-28 13:20:00', NULL
'2450', '유저', '경기도 성남시 중원구 은행로38번길 15-4 청송빌라 202호 입니다. 감사합니다', '꽃/케익배달', '2015-10-28 13:23:00', NULL
'2450', '문비서', '주소 확인 감사합니다.^^', '꽃/케익배달', '2015-10-28 13:23:00', NULL
'2475', '유저', '▶◀ 부고<br>김병희 원우님 모친 별세(향년 90세)<br>발인:10월 30일 금요일<br>장례식장:전남 고흥군 고흥읍 고흥로 1935 고흥종합병원 장례식장 2호실<br>061-830-3300', '꽃/케익배달', '2015-10-29 09:44:00', '2475'
'2475', '유저', '근조부탁해요..고려기프트(주)', '꽃/케익배달', '2015-10-29 09:44:00', '2475'
'2475', '유저', '대표이사 김금숙 으로', '꽃/케익배달', '2015-10-29 09:44:00', '2475'
'2475', '유저', '69,000원대로요', '꽃/케익배달', '2015-10-29 09:45:00', '2475'
'2475', '문비서', '안녕하세요 금숙님<br>확인후 안내해 드릴게요', '꽃/케익배달', '2015-10-29 09:45:00', '2475'
'2475', '유저', '빨리 부탁해요', '꽃/케익배달', '2015-10-29 09:45:00', '2475'
'2475', '문비서', '근조화환<br><br>장소 : 전남 고흥군 고흥읍 고흥로 1935 고흥종합병원 장례식장 2호실(061-830-3300)<br>상주: 김병희님(010-3273-8870)<br>[화환 리본 문구] <br>좌측 : 고려기프트(주) 대표이사 김금숙<br>우측 : 삼가 故人의 冥福을 빕니다', '꽃/케익배달', '2015-10-29 09:46:00', '2475'
'2475', '문비서', '69,000원으로 신청해 드렸고 빠른 배송 요청했습니다', '꽃/케익배달', '2015-10-29 09:46:00', '2475'
'2475', '유저', '네..이미지 볼 수 있나요?', '꽃/케익배달', '2015-10-29 09:47:00', '2475'
'2475', '문비서', '네 잠시만요', '꽃/케익배달', '2015-10-29 09:47:00', '2475'
'2475', '문비서', '위의 이미지를 참고해 주세요<br>배송후 사진을 다시 보내드리겠습니다~<br><br>고흥이 도서산간 지역이라 추가배송비가 발생했으나<br>문비서에서 무료로 해드리기로 했습니다', '꽃/케익배달', '2015-10-29 09:54:00', '2475'
'2475', '유저', '네..좋으네요', '꽃/케익배달', '2015-10-29 09:57:00', '2475'
'2475', '문비서', '네, 배송후 사진 다시 보내드리겠습니다<br>입금은 아래 계좌중 한 곳으로 보내주시면 되십니다<br><br> 국민은행 786101-00-028152 (주)텍스트팩토리<br> 신한은행 140-010-927533 (주)텍스트팩토리<br> 우리은행 1005-002-832850 (주)텍스트팩토리<br> 하나은행 115-910030-48104 (주)텍스트팩토리', '꽃/케익배달', '2015-10-29 09:59:00', '2475'
'2475', '유저', '지금바로 안되고 오후쯤 해도 되나요?..짐 외부라서요', '꽃/케익배달', '2015-10-29 10:00:00', '2475'
'2475', '유저', '진행은 해주시고요', '꽃/케익배달', '2015-10-29 10:00:00', '2475'
'2475', '문비서', '네 알겠습니다~<br>편하실때 입금해 주시면 됩니다', '꽃/케익배달', '2015-10-29 10:01:00', '2475'
'2475', '유저', '감사합니다.', '꽃/케익배달', '2015-10-29 10:01:00', '2475'
'2475', '문비서', '고맙습니다^^', '꽃/케익배달', '2015-10-29 10:01:00', '2475'
'2475', '유저', '송금했어요..세금계산서나 현금영수증 가능한가요?', '꽃/케익배달', '2015-10-29 16:26:00', '2475'
'2475', '문비서', '네~ 가능하세요, 사업자 지출증빙으로 해드리겠습니다~', '꽃/케익배달', '2015-10-29 16:27:00', '2475'
'2475', '유저', '넹', '꽃/케익배달', '2015-10-29 16:28:00', '2475'
'2475', '문비서', '세금계산서 발행을 위해 사업자등록사본을 ask@munbs.com으로 보내주세요(팩스 02-523-5180으로 보내주셔도 됩니다). <br>그리고 세금계산서 발행 받으실 이메일 주소와 담당자분 성함, 연락처도 함께 부탁드립니다.', '꽃/케익배달', '2015-10-29 16:35:00', '2475'
'2475', '유저', '나일금대리가 보내줄겁니다.', '꽃/케익배달', '2015-10-29 16:37:00', '2475'
'2475', '문비서', '네~ 알겠습니다 ^^', '꽃/케익배달', '2015-10-29 16:37:00', '2475'
'2529', '유저', '문비서님!!!', '꽃/케익배달', '2015-10-31 10:30:00', '2529'
'2529', '문비서', '안녕하세요 가영님 ^^ <br>무엇을 도와드릴까요~', '꽃/케익배달', '2015-10-31 10:30:00', '2529'
'2529', '유저', '오늘 병원에 케이크 퀵을 두군데에 보내고 싶어요! 도와주세요', '꽃/케익배달', '2015-10-31 10:30:00', '2529'
'2529', '문비서', '보내실 병원이 어디신가요?', '꽃/케익배달', '2015-10-31 10:31:00', '2529'
'2529', '문비서', '특별히 보내실 케익이 있으신가요? 아니면 파리바게트나 뚜레주르 케익으로 보내드려도 되나요?', '꽃/케익배달', '2015-10-31 10:31:00', '2529'
'2529', '유저', '이렇게 왔구요 법인카드 제가 가꼬 있는게 있는데 결제 되나요?', '꽃/케익배달', '2015-10-31 10:34:00', '2529'
'2529', '유저', '인증서는 따로 없고 카드번호랑 비밀번호만 알고 있어요!', '꽃/케익배달', '2015-10-31 10:34:00', '2529'
'2529', '유저', '케이크는 5만원 밑으로 부탁드려요 고급스러운거!', '꽃/케익배달', '2015-10-31 10:34:00', '2529'
'2529', '문비서', '카드번호로 결제하셔야 되거군요!', '꽃/케익배달', '2015-10-31 10:35:00', '2529'
'2529', '유저', '넵!! ㅎㅎ 바로 그겁니다 문비서님 주말인데도 일하시네요 혹시나해서 연락드린건데 ㅠㅠ', '꽃/케익배달', '2015-10-31 10:35:00', '2529'
'2529', '문비서', '우선 카드번호로 결제가 가능한지 확인 후 안내해드릴께요~', '꽃/케익배달', '2015-10-31 10:36:00', '2529'
'2529', '유저', '넵!!', '꽃/케익배달', '2015-10-31 10:36:00', '2529'
'2529', '문비서', '문비서는 토요일도 9시부터 6시까지 근무한답니다 ^^', '꽃/케익배달', '2015-10-31 10:36:00', '2529'
'2529', '유저', '오호! 다행이에요 감사합니다 ㅠㅠ', '꽃/케익배달', '2015-10-31 10:36:00', '2529'
'2529', '문비서', '가영님~ 혹시 법인카드가 어디카드인가요?', '꽃/케익배달', '2015-10-31 10:41:00', '2529'
'2529', '유저', '기업은행입니다', '꽃/케익배달', '2015-10-31 10:42:00', '2529'
'2529', '문비서', '확인 감사합니다~', '꽃/케익배달', '2015-10-31 10:42:00', '2529'
'2529', '문비서', '분당 서울대병원 근처에 위치한 파리바게트에서 결제 및 배달이 가능하다고 합니다. <br>그런데 5만원 이상 구매를 해야 가능하다고 해서요 ㅠ <br>케익은 5만원이 안되는데... 롤케익 같은 걸 추가로 구매해서 배달해드려도 될까요', '꽃/케익배달', '2015-10-31 10:50:00', '2529'
'2529', '문비서', '?', '꽃/케익배달', '2015-10-31 10:50:00', '2529'
'2529', '유저', '오! 그렇게 해주세요! ㅎㅎ 5만원 겨우넘게 ㅎㅎ', '꽃/케익배달', '2015-10-31 10:50:00', '2529'
'2529', '문비서', '법인카드 번호 부탁드려요~ <br>카톡으로 보내기 불편하시면 010 9494 0114로 문자로 보내주셔도 됩니다~', '꽃/케익배달', '2015-10-31 10:52:00', '2529'
'2529', '문비서', '유효기간도 함께 부탁드려요~', '꽃/케익배달', '2015-10-31 10:52:00', '2529'
'2529', '문비서', '고구마케익 괜찮으신가요?', '꽃/케익배달', '2015-10-31 10:54:00', '2529'
'2529', '유저', '악', '꽃/케익배달', '2015-10-31 10:54:00', '2529'
'2529', '유저', '문비서님 알아봐 주셨는데 죄송하게도 이사님께서 좀 더 고급스러운 걸 보냈으면 좋갰다 하셔서 다른 직원분이 백화점 가서 알아서 하신대요', '꽃/케익배달', '2015-10-31 10:55:00', '2529'
'2529', '유저', '흑 ㅠㅠ', '꽃/케익배달', '2015-10-31 10:55:00', '2529'
'2529', '문비서', '헉,', '꽃/케익배달', '2015-10-31 10:55:00', '2529'
'2529', '유저', '감사하고 죄송해요', '꽃/케익배달', '2015-10-31 10:55:00', '2529'
'2529', '유저', 'ㅠㅠㅠㅠ', '꽃/케익배달', '2015-10-31 10:55:00', '2529'
'2529', '문비서', '알겠습니다. ㅠㅠ', '꽃/케익배달', '2015-10-31 10:55:00', '2529'
'2529', '유저', '항상 감사드리고 있어요!!!', '꽃/케익배달', '2015-10-31 10:56:00', '2529'
'2529', '유저', '주말이고 날도 추운데 몸 챙겨가며 일하세요! ㅠㅠ', '꽃/케익배달', '2015-10-31 10:56:00', '2529'
'2529', '문비서', '감사합니다. 가영님도 감기조심하세요~', '꽃/케익배달', '2015-10-31 10:56:00', '2529'
'2529', '문비서', '즐거운 주말 되시구요 ♡', '꽃/케익배달', '2015-10-31 10:58:00', '2529'
'2543', '유저', '문비서님', '꽃/케익배달', '2015-11-02 12:47:00', '2543'
'2543', '문비서', '안녕하세요 구지회님<br>무엇을 도와드릴까요?', '꽃/케익배달', '2015-11-02 12:48:00', '2543'
'2543', '유저', '사업장이전과 관련하여 화분을 보내고 싶습니다.', '꽃/케익배달', '2015-11-02 12:48:00', '2543'
'2543', '문비서', '네 받으시는 분의 성함과 연락처 부탁드립니다<br>화분 가격대는 어느 정도 생각하시는지요?', '꽃/케익배달', '2015-11-02 12:49:00', '2543'
'2543', '유저', '주소는<br>경기도 수원시 권선구 산업로 115번길 17  하나시스(주)', '꽃/케익배달', '2015-11-02 12:49:00', '2543'
'2543', '유저', '이정용대표 입니다.  <br>연락처는 01052845892 이고여', '꽃/케익배달', '2015-11-02 12:50:00', '2543'
'2543', '문비서', '네 알겠습니다~', '꽃/케익배달', '2015-11-02 12:51:00', '2543'
'2543', '유저', '보내는사람은 티에스아이앤티 대표 문연자 입니다', '꽃/케익배달', '2015-11-02 12:51:00', '2543'
'2543', '문비서', '네~', '꽃/케익배달', '2015-11-02 12:51:00', '2543'
'2543', '유저', '네,  부탁드립니다.', '꽃/케익배달', '2015-11-02 12:53:00', '2543'
'2543', '문비서', '해피트리 99,000원입니다', '꽃/케익배달', '2015-11-02 12:53:00', '2543'
'2543', '유저', '혹시 문구가 필요한가요?', '꽃/케익배달', '2015-11-02 12:53:00', '2543'
'2543', '문비서', '네 알겠습니다~<br>화분은 이미지와 다를 수 있습니다<br>좋은 것으로 부탁하겠습니다', '꽃/케익배달', '2015-11-02 12:53:00', '2543'
'2543', '문비서', '문구 생각하신 것이 있으신가요?', '꽃/케익배달', '2015-11-02 12:53:00', '2543'
'2543', '유저', '그럼 사업장이전에 맞는 좋은 문구로 부탁합니다.', '꽃/케익배달', '2015-11-02 12:54:00', '2543'
'2543', '문비서', '네 알겠습니다', '꽃/케익배달', '2015-11-02 12:54:00', '2543'
'2543', '유저', '세금계산서를 보내주시나요?', '꽃/케익배달', '2015-11-02 12:56:00', '2543'
'2543', '유저', 'sixred21@gmail.com', '꽃/케익배달', '2015-11-02 12:57:00', '2543'
'2543', '문비서', '네 계산서 신청해 드리겠습니다<br>문구 안내해 드립니다<br><br>이전을 축하드리며 무궁한 번영있기를 기원합니다<br>이전을 축하드리며 성공을 기원합니다<br>돈세다 잠드소서<br>왕대박나세요', '꽃/케익배달', '2015-11-02 13:00:00', '2543'
'2543', '유저', '첫번째것으로 해주십시오', '꽃/케익배달', '2015-11-02 13:01:00', '2543'
'2543', '문비서', '네 알겠습니다', '꽃/케익배달', '2015-11-02 13:01:00', '2543'
'2543', '문비서', '장소 : 경기도 수원시 권선구 산업로 115번길 17 하나시스(주)<br>수령자 : 이정용 대표님(01052845892)<br><br>[화환 리본 문구] <br>좌측 : (보내는 분) 티에스아이앤티 대표 문연자 <br>우측 : 이전을 축하드리며 무궁한 번영있기를 기원합니다', '꽃/케익배달', '2015-11-02 13:03:00', '2543'
'2543', '문비서', '이렇게 신청해 드렸습니다', '꽃/케익배달', '2015-11-02 13:03:00', '2543'
'2543', '유저', '감사합니다.', '꽃/케익배달', '2015-11-02 13:04:00', '2543'
'2543', '문비서', '고맙습니다^^<br><br>해피트리 99,000원 결제하실 수 있도록 링크를 보내드릴게요', '꽃/케익배달', '2015-11-02 13:05:00', '2543'
'2543', '유저', '네', '꽃/케익배달', '2015-11-02 13:06:00', '2543'
'2543', '유저', '메일로 계산서 발행하시면 입금처리하겠습니다.', '꽃/케익배달', '2015-11-02 13:06:00', '2543'
'2543', '문비서', '네 알겠습니다<br>지금 결제링크는 보내드렸습니다~', '꽃/케익배달', '2015-11-02 13:07:00', '2543'
'2543', '유저', '네 알겠습니다<br>지금 결제링크는 보내드렸습니다~', '꽃/케익배달', '2015-11-02 13:07:00', '2543'
'2543', '유저', '메일 확인하여 주십시오', '꽃/케익배달', '2015-11-02 13:07:00', '2543'
'2543', '문비서', '네 알겠습니다~', '꽃/케익배달', '2015-11-02 13:07:00', '2543'
'2543', '문비서', '구지회님~<br>오후 4시5분에 직원 홍성녀 님께서 해피트리 인수하셨습니다', '꽃/케익배달', '2015-11-02 16:25:00', '2543'
'2543', '유저', '감사합니다', '꽃/케익배달', '2015-11-02 16:27:00', '2543'
'2543', '문비서', '감사합니다.<br>즐거운 오후 되세요~', '꽃/케익배달', '2015-11-02 16:27:00', '2543'
'2554', '유저', '안녕하세요 보내주신거래명세서확인해습니다 그런데물품의경우 일괄10월30일으로 되어있는데요', '꽃/케익배달', '2015-11-02 13:31:00', '2554'
'2554', '유저', '주문날짜를 기입해주시긴어려운가요?', '꽃/케익배달', '2015-11-02 13:31:00', '2554'
'2554', '문비서', '확인 후, 안내드리겠습니다.', '꽃/케익배달', '2015-11-02 13:32:00', '2554'
'2554', '문비서', '날짜 별도 기입해서 재발행해드리겠습니다.', '꽃/케익배달', '2015-11-02 13:33:00', '2554'
'2554', '유저', '감사합니다', '꽃/케익배달', '2015-11-02 13:34:00', '2554'
'2554', '유저', '혹시메일로보낸 주문잘들어갔나요?', '꽃/케익배달', '2015-11-02 13:57:00', '2554'
'2554', '문비서', '확인해 보겠습니다~', '꽃/케익배달', '2015-11-02 13:57:00', '2554'
'2554', '문비서', '물품 신청 메일 맞으신가요?', '꽃/케익배달', '2015-11-02 13:59:00', '2554'
'2554', '유저', '넵', '꽃/케익배달', '2015-11-02 14:03:00', '2554'
'2554', '문비서', '네 우선 급하신 커피는 먼저 5시30분까지 배송완료 요청드렸습니다.', '꽃/케익배달', '2015-11-02 14:03:00', '2554'
'2554', '문비서', '그리고 나머지 물품은 내일 배송예정입니다.', '꽃/케익배달', '2015-11-02 14:03:00', '2554'
'2554', '유저', '고맙습니다~~', '꽃/케익배달', '2015-11-02 14:05:00', '2554'
'2554', '유저', '메일확인부탁드려요', '꽃/케익배달', '2015-11-02 14:36:00', '2554'
